rank,player,team,division,goals,match_count,note
1,齊藤 楓花,INAC柏CRAVO FC,2部,7,3,
1,清野 七愛,栃木SCレディース,2部,7,5,
3,真田 小町,スフィーダ世田谷FCユース,2部,4,2,team_heading_not_in_match:スフィーダ世田谷FCユース
3,関 まはる,スフィーダ世田谷FCユース,2部,4,4,team_heading_not_in_match:スフィーダ世田谷FCユース
3,林 加笑,栃木SCレディース,2部,4,3,
6,加藤 なづな,INAC柏CRAVO FC,2部,3,2,
6,藤沢 美緒,INAC柏CRAVO FC,2部,3,2,
6,松本 芽生,ちふれASエルフェン埼玉マリU-15,2部,3,3,
6,滝澤 優奈,スフィーダ世田谷FCユース,2部,3,3,team_heading_not_in_match:スフィーダ世田谷FCユース
10,下村 結七,FC市川GUNNERSレディース,2部,2,2,
10,笹ノ間 奈央,INAC柏CRAVO FC,2部,2,2,
10,奥田 利咲,RB大宮アルディージャWOMEN U15,2部,2,2,team_heading_not_in_match:RB大宮アルディージャWOMEN U15
10,小川 梨心,十文字中学校,2部,2,2,
10,市原 萌百花,十文字中学校,2部,2,2,
10,會澤 萌乃風,府ロクレディース,2部,2,2,team_heading_not_in_match:府ロクレディース
10,奈良 凪紗,栃木SCレディース,2部,2,1,
17,大森 れいら,FC市川GUNNERSレディース,2部,1,1,
17,谷野 陽咲,FC市川GUNNERSレディース,2部,1,1,
17,黒澤 七葉,FC市川GUNNERSレディース,2部,1,1,
17,椎名 由衣,INAC柏CRAVO FC,2部,1,1,
17,武藤 夏穂,INAC柏CRAVO FC,2部,1,1,
17,水野 怜咲,INAC柏CRAVO FC,2部,1,1,
17,直井 里桜,INAC柏CRAVO FC,2部,1,1,
17,竹田 美羽,INAC柏CRAVO FC,2部,1,1,
17,藤井 悠羽,INAC柏CRAVO FC,2部,1,1,
17,中村 詩,RB大宮アルディージャWOMEN U15,2部,1,1,team_heading_not_in_match:RB大宮アルディージャWOMEN U15
17,加藤 咲那,RB大宮アルディージャWOMEN U15,2部,1,1,team_heading_not_in_match:RB大宮アルディージャWOMEN U15
17,小口彩理,RB大宮アルディージャWOMEN U15,2部,1,1,team_heading_not_in_match:RB大宮アルディージャWOMEN U15
17,椎名 夢咲,RB大宮アルディージャWOMEN U15,2部,1,1,
17,飯島 桜子,RB大宮アルディージャWOMEN U15,2部,1,1,team_heading_not_in_match:RB大宮アルディージャWOMEN U15
17,今泉 奏,ちふれASエルフェン埼玉マリU-15,2部,1,1,
17,湯本 蘭,ちふれASエルフェン埼玉マリU-15,2部,1,1,
17,菊池 玲香,ちふれASエルフェン埼玉マリU-15,2部,1,1,
17,齋藤 澪來,ちふれASエルフェン埼玉マリU-15,2部,1,1,
17,オウンゴール,スフィーダ世田谷FCユース,2部,1,1,
17,佐藤 杏音,スフィーダ世田谷FCユース,2部,1,1,
17,加瀬 楓,スフィーダ世田谷FCユース,2部,1,1,
17,吉川 怜那,スフィーダ世田谷FCユース,2部,1,1,
17,吉川 美南,スフィーダ世田谷FCユース,2部,1,1,
17,尾熊 彩,スフィーダ世田谷FCユース,2部,1,1,team_heading_not_in_match:スフィーダ世田谷FCユース
17,浅香 裕来,スフィーダ世田谷FCユース,2部,1,1,
17,茂木 陽菜,スフィーダ世田谷FCユース,2部,1,1,
17,松原 璃々,十文字中学校,2部,1,1,
17,遊佐葉月,十文字中学校,2部,1,1,
17,金子 楓翔,十文字中学校,2部,1,1,
17,金子 和,府ロクレディース,2部,1,1,
17,オウンゴール,栃木SCレディース,2部,1,1,
17,富澤 結夢,栃木SCレディース,2部,1,1,
17,柳浦 咲煌,栃木SCレディース,2部,1,1,
17,檜山 未知琉,栃木SCレディース,2部,1,1,
